# Aspell Character Data File.  Do Not Edit!
# <char> <uni> <type> <upper> <lower> <title> <plain>
49 0049 V 49 69 49 49
4A 004A L 4A 6A 4A 4A
4B 004B L 4B 6B 4B 4B
4C 004C L 4C 6C 4C 4C
4D 004D L 4D 6D 4D 4D
4E 004E L 4E 6E 4E 4E
4F 004F V 4F 6F 4F 4F
50 0050 L 50 70 50 50
51 0051 L 51 71 51 51
52 0052 L 52 72 52 52
53 0053 L 53 73 53 53
54 0054 L 54 74 54 54
55 0055 V 55 75 55 55
56 0056 L 56 76 56 56
57 0057 L 57 77 57 57
58 0058 L 58 78 58 58
59 0059 V 59 79 59 59
5A 005A L 5A 7A 5A 5A
5B 005B - 5B 5B 5B 5B
5C 005C - 5C 5C 5C 5C
5D 005D - 5D 5D 5D 5D
5E 005E - 5E 5E 5E 5E
5F 005F - 5F 5F 5F 5F
60 0060 - 60 60 60 60
61 0061 V 41 61 41 61
62 0062 L 42 62 42 62
63 0063 L 43 63 43 63
64 0064 L 44 64 44 64
65 0065 V 45 65 45 65
66 0066 L 46 66 46 66
67 0067 L 47 67 47 67
68 0068 L 48 68 48 68
69 0069 V 49 69 49 69
6A 006A L 4A 6A 4A 6A
6B 006B L 4B 6B 4B 6B
6C 006C L 4C 6C 4C 6C
6D 006D L 4D 6D 4D 6D
6E 006E L 4E 6E 4E 6E
6F 006F V 4F 6F 4F 6F
70 0070 L 50 70 50 70
71 0071 L 51 71 51 71
72 0072 L 52 72 52 72
73 0073 L 53 73 53 73
74 0074 L 54 74 54 74
75 0075 V 55 75 55 75
76 0076 L 56 76 56 76
77 0077 L 57 77 57 77
78 0078 L 58 78 58 78
79 0079 V 59 79 59 79
7A 007A L 5A 7A 5A 7A
7B 007B - 7B 7B 7B 7B
7C 007C - 7C 7C 7C 7C
7D 007D - 7D 7D 7D 7D
7E 007E - 7E 7E 7E 7E
7F 007F - 7F 7F 7F 7F
80 0080 - 80 80 80 80
81 0081 - 81 81 81 81
82 0082 - 82 82 82 82
83 0083 - 83 83 83 83
84 0084 - 84 84 84 84
85 0085 W 85 85 85 85
86 0086 - 86 86 86 86
87 0087 - 87 87 87 87
88 0088 - 88 88 88 88
89 0089 - 89 89 89 89
8A 008A - 8A 8A 8A 8A
8B 008B - 8B 8B 8B 8B
8C 008C - 8C 8C 8C 8C
8D 008D - 8D 8D 8D 8D
8E 008E - 8E 8E 8E 8E
8F 008F - 8F 8F 8F 8F
90 0090 - 90 90 90 90
91 0091 - 91 91 91 91
92 0092 - 92 92 92 92
93 0093 - 93 93 93 93
94 0094 - 94 94 94 94
95 0095 - 95 95 95 95
96 0096 - 96 96 96 96
97 0097 - 97 97 97 97
98 0098 - 98 98 98 98
99 0099 - 99 99 99 99
9A 009A - 9A 9A 9A 9A
9B 009B - 9B 9B 9B 9B
9C 009C - 9C 9C 9C 9C
9D 009D - 9D 9D 9D 9D
9E 009E - 9E 9E 9E 9E
9F 009F - 9F 9F 9F 9F
A0 00A0 W A0 A0 A0 A0
A1 0104 V A1 B1 A1 41
A2 0112 V A2 B2 A2 45
A3 0122 L A3 B3 A3 47
A4 012A V A4 B4 A4 49
A5 0128 V A5 B5 A5 49
A6 0136 L A6 B6 A6 4B
A7 00A7 - A7 A7 A7 A7
A8 013B L A8 B8 A8 4C
A9 0110 L A9 B9 A9 A9
AA 0160 L AA BA AA 53
AB 0166 L AB BB AB AB
AC 017D L AC BC AC 5A
AD 00AD H AD AD AD AD
AE 016A V AE BE AE 55
AF 014A L AF BF AF AF
B0 00B0 - B0 B0 B0 B0
B1 0105 V A1 B1 A1 61
B2 0113 V A2 B2 A2 65
B3 0123 L A3 B3 A3 67
B4 012B V A4 B4 A4 69
B5 0129 V A5 B5 A5 69
B6 0137 L A6 B6 A6 6B
B7 00B7 - B7 B7 B7 B7
B8 013C L A8 B8 A8 6C
B9 0111 L A9 B9 A9 B9
BA 0161 L AA BA AA 73
BB 0167 L AB BB AB BB
BC 017E L AC BC AC 7A
BD 2015 - BD BD BD BD
BE 016B V AE BE AE 75
BF 014B L AF BF AF BF
C0 0100 V C0 E0 C0 41
C1 00C1 V C1 E1 C1 41
C2 00C2 V C2 E2 C2 41
C3 00C3 V C3 E3 C3 41
C4 00C4 V C4 E4 C4 41
C5 00C5 V C5 E5 C5 41
C6 00C6 V C6 E6 C6 C6
C7 012E V C7 E7 C7 49
C8 010C L C8 E8 C8 43
C9 00C9 V C9 E9 C9 45
CA 0118 V CA EA CA 45
CB 00CB V CB EB CB 45
CC 0116 V CC EC CC 45
CD 00CD V CD ED CD 49
CE 00CE V CE EE CE 49
CF 00CF V CF EF CF 49
D0 00D0 L D0 F0 D0 D0
D1 0145 L D1 F1 D1 4E
D2 014C V D2 F2 D2 4F
D3 00D3 V D3 F3 D3 4F
D4 00D4 V D4 F4 D4 4F
D5 00D5 V D5 F5 D5 4F
D6 00D6 V D6 F6 D6 4F
D7 0168 V D7 F7 D7 55
D8 00D8 V D8 F8 D8 D8
D9 0172 V D9 F9 D9 55
DA 00DA V DA FA DA 55
DB 00DB V DB FB DB 55
DC 00DC V DC FC DC 55
DD 00DD V DD FD DD 59
DE 00DE L DE FE DE DE
DF 00DF L DF DF DF DF
E0 0101 V C0 E0 C0 61
E1 00E1 V C1 E1 C1 61
E2 00E2 V C2 E2 C2 61
E3 00E3 V C3 E3 C3 61
E4 00E4 V C4 E4 C4 61
E5 00E5 V C5 E5 C5 61
E6 00E6 V C6 E6 C6 E6
E7 012F V C7 E7 C7 69
E8 010D L C8 E8 C8 63
E9 00E9 V C9 E9 C9 65
EA 0119 V CA EA CA 65
EB 00EB V CB EB CB 65
EC 0117 V CC EC CC 65
ED 00ED V CD ED CD 69
EE 00EE V CE EE CE 69
EF 00EF V CF EF CF 69
F0 00F0 L D0 F0 D0 F0
F1 0146 L D1 F1 D1 6E
F2 014D V D2 F2 D2 6F
F3 00F3 V D3 F3 D3 6F
F4 00F4 V D4 F4 D4 6F
F5 00F5 V D5 F5 D5 6F
F6 00F6 V D6 F6 D6 6F
F7 0169 V D7 F7 D7 75
F8 00F8 V D8 F8 D8 F8
F9 0173 V D9 F9 D9 75
FA 00FA V DA FA DA 75
FB 00FB V DB FB DB 75
FC 00FC V DC FC DC 75
FD 00FD V DD FD DD 79
FE 00FE L DE FE DE FE
FF 0138 L FF FF FF FF
