# Aspell Character Data File.  Do Not Edit!
# <char> <uni> <type> <upper> <lower> <title> <plain>
49 0049 V 49 69 49 49
4A 004A L 4A 6A 4A 4A
4B 004B L 4B 6B 4B 4B
4C 004C L 4C 6C 4C 4C
4D 004D L 4D 6D 4D 4D
4E 004E L 4E 6E 4E 4E
4F 004F V 4F 6F 4F 4F
50 0050 L 50 70 50 50
51 0051 L 51 71 51 51
52 0052 L 52 72 52 52
53 0053 L 53 73 53 53
54 0054 L 54 74 54 54
55 0055 V 55 75 55 55
56 0056 L 56 76 56 56
57 0057 L 57 77 57 57
58 0058 L 58 78 58 58
59 0059 V 59 79 59 59
5A 005A L 5A 7A 5A 5A
5B 005B - 5B 5B 5B 5B
5C 005C - 5C 5C 5C 5C
5D 005D - 5D 5D 5D 5D
5E 005E - 5E 5E 5E 5E
5F 005F - 5F 5F 5F 5F
60 0060 - 60 60 60 60
61 0061 V 41 61 41 61
62 0062 L 42 62 42 62
63 0063 L 43 63 43 63
64 0064 L 44 64 44 64
65 0065 V 45 65 45 65
66 0066 L 46 66 46 66
67 0067 L 47 67 47 67
68 0068 L 48 68 48 68
69 0069 V 49 69 49 69
6A 006A L 4A 6A 4A 6A
6B 006B L 4B 6B 4B 6B
6C 006C L 4C 6C 4C 6C
6D 006D L 4D 6D 4D 6D
6E 006E L 4E 6E 4E 6E
6F 006F V 4F 6F 4F 6F
70 0070 L 50 70 50 70
71 0071 L 51 71 51 71
72 0072 L 52 72 52 72
73 0073 L 53 73 53 73
74 0074 L 54 74 54 74
75 0075 V 55 75 55 75
76 0076 L 56 76 56 76
77 0077 L 57 77 57 77
78 0078 L 58 78 58 78
79 0079 V 59 79 59 79
7A 007A L 5A 7A 5A 7A
7B 007B - 7B 7B 7B 7B
7C 007C - 7C 7C 7C 7C
7D 007D - 7D 7D 7D 7D
7E 007E - 7E 7E 7E 7E
7F 007F - 7F 7F 7F 7F
80 E080 - 80 80 80 80
81 E081 - 81 81 81 81
82 E082 - 82 82 82 82
83 E083 - 83 83 83 83
84 E084 - 84 84 84 84
85 E085 - 85 85 85 85
86 E086 - 86 86 86 86
87 E087 - 87 87 87 87
88 E088 - 88 88 88 88
89 E089 - 89 89 89 89
8A E08A - 8A 8A 8A 8A
8B E08B - 8B 8B 8B 8B
8C E08C - 8C 8C 8C 8C
8D E08D - 8D 8D 8D 8D
8E E08E - 8E 8E 8E 8E
8F E08F - 8F 8F 8F 8F
90 E090 - 90 90 90 90
91 E091 - 91 91 91 91
92 E092 - 92 92 92 92
93 E093 - 93 93 93 93
94 E094 - 94 94 94 94
95 2022 - 95 95 95 95
96 E096 - 96 96 96 96
97 E097 - 97 97 97 97
98 E098 - 98 98 98 98
99 E099 - 99 99 99 99
9A 00A0 W 9A 9A 9A 9A
9B E09B - 9B 9B 9B 9B
9C 00B0 - 9C 9C 9C 9C
9D 00B2 - 9D 9D 9D 9D
9E 00B7 - 9E 9E 9E 9E
9F 00F7 - 9F 9F 9F 9F
A0 E0A0 - A0 A0 A0 A0
A1 E0A1 - A1 A1 A1 A1
A2 E0A2 - A2 A2 A2 A2
A3 0451 V B3 A3 B3 C5
A4 E0A4 - A4 A4 A4 A4
A5 E0A5 - A5 A5 A5 A5
A6 E0A6 - A6 A6 A6 A6
A7 E0A7 - A7 A7 A7 A7
A8 E0A8 - A8 A8 A8 A8
A9 E0A9 - A9 A9 A9 A9
AA E0AA - AA AA AA AA
AB E0AB - AB AB AB AB
AC E0AC - AC AC AC AC
AD E0AD - AD AD AD AD
AE E0AE - AE AE AE AE
AF E0AF - AF AF AF AF
B0 E0B0 - B0 B0 B0 B0
B1 E0B1 - B1 B1 B1 B1
B2 E0B2 - B2 B2 B2 B2
B3 0401 V B3 A3 B3 E5
B4 E0B4 - B4 B4 B4 B4
B5 E0B5 - B5 B5 B5 B5
B6 E0B6 - B6 B6 B6 B6
B7 E0B7 - B7 B7 B7 B7
B8 E0B8 - B8 B8 B8 B8
B9 E0B9 - B9 B9 B9 B9
BA E0BA - BA BA BA BA
BB E0BB - BB BB BB BB
BC E0BC - BC BC BC BC
BD E0BD - BD BD BD BD
BE E0BE - BE BE BE BE
BF 00A9 - BF BF BF BF
C0 044E L E0 C0 E0 C0
C1 0430 V E1 C1 E1 C1
C2 0431 L E2 C2 E2 C2
C3 0446 L E3 C3 E3 C3
C4 0434 L E4 C4 E4 C4
C5 0435 V E5 C5 E5 C5
C6 0444 L E6 C6 E6 C6
C7 0433 L E7 C7 E7 C7
C8 0445 L E8 C8 E8 C8
C9 0438 V E9 C9 E9 C9
CA 0439 V EA CA EA C9
CB 043A L EB CB EB CB
CC 043B L EC CC EC CC
CD 043C L ED CD ED CD
CE 043D L EE CE EE CE
CF 043E V EF CF EF CF
D0 043F L F0 D0 F0 D0
D1 044F L F1 D1 F1 D1
D2 0440 L F2 D2 F2 D2
D3 0441 L F3 D3 F3 D3
D4 0442 L F4 D4 F4 D4
D5 0443 V F5 D5 F5 D5
D6 0436 L F6 D6 F6 D6
D7 0432 L F7 D7 F7 D7
D8 044C L F8 D8 F8 D8
D9 044B L F9 D9 F9 D9
DA 0437 L FA DA FA DA
DB 0448 L FB DB FB DB
DC 044D L FC DC FC DC
DD 0449 L FD DD FD DD
DE 0447 L FE DE FE DE
DF 044A L FF DF FF DF
E0 042E L E0 C0 E0 E0
E1 0410 V E1 C1 E1 E1
E2 0411 L E2 C2 E2 E2
E3 0426 L E3 C3 E3 E3
E4 0414 L E4 C4 E4 E4
E5 0415 V E5 C5 E5 E5
E6 0424 L E6 C6 E6 E6
E7 0413 L E7 C7 E7 E7
E8 0425 L E8 C8 E8 E8
E9 0418 V E9 C9 E9 E9
EA 0419 V EA CA EA E9
EB 041A L EB CB EB EB
EC 041B L EC CC EC EC
ED 041C L ED CD ED ED
EE 041D L EE CE EE EE
EF 041E V EF CF EF EF
F0 041F L F0 D0 F0 F0
F1 042F L F1 D1 F1 F1
F2 0420 L F2 D2 F2 F2
F3 0421 L F3 D3 F3 F3
F4 0422 L F4 D4 F4 F4
F5 0423 V F5 D5 F5 F5
F6 0416 L F6 D6 F6 F6
F7 0412 L F7 D7 F7 F7
F8 042C L F8 D8 F8 F8
F9 042B L F9 D9 F9 F9
FA 0417 L FA DA FA FA
FB 0428 L FB DB FB FB
FC 042D L FC DC FC FC
FD 0429 L FD DD FD FD
FE 0427 L FE DE FE FE
FF 042A L FF DF FF FF
