# Aspell Character Data File.  Do Not Edit!
# <char> <uni> <type> <upper> <lower> <title> <plain>
49 0049 V 49 69 49 49
4A 004A L 4A 6A 4A 4A
4B 004B L 4B 6B 4B 4B
4C 004C L 4C 6C 4C 4C
4D 004D L 4D 6D 4D 4D
4E 004E L 4E 6E 4E 4E
4F 004F V 4F 6F 4F 4F
50 0050 L 50 70 50 50
51 0051 L 51 71 51 51
52 0052 L 52 72 52 52
53 0053 L 53 73 53 53
54 0054 L 54 74 54 54
55 0055 V 55 75 55 55
56 0056 L 56 76 56 56
57 0057 L 57 77 57 57
58 0058 L 58 78 58 58
59 0059 V 59 79 59 59
5A 005A L 5A 7A 5A 5A
5B 005B - 5B 5B 5B 5B
5C 005C - 5C 5C 5C 5C
5D 005D - 5D 5D 5D 5D
5E 005E - 5E 5E 5E 5E
5F 005F - 5F 5F 5F 5F
60 0060 - 60 60 60 60
61 0061 V 41 61 41 61
62 0062 L 42 62 42 62
63 0063 L 43 63 43 63
64 0064 L 44 64 44 64
65 0065 V 45 65 45 65
66 0066 L 46 66 46 66
67 0067 L 47 67 47 67
68 0068 L 48 68 48 68
69 0069 V 49 69 49 69
6A 006A L 4A 6A 4A 6A
6B 006B L 4B 6B 4B 6B
6C 006C L 4C 6C 4C 6C
6D 006D L 4D 6D 4D 6D
6E 006E L 4E 6E 4E 6E
6F 006F V 4F 6F 4F 6F
70 0070 L 50 70 50 70
71 0071 L 51 71 51 71
72 0072 L 52 72 52 72
73 0073 L 53 73 53 73
74 0074 L 54 74 54 74
75 0075 V 55 75 55 75
76 0076 L 56 76 56 76
77 0077 L 57 77 57 77
78 0078 L 58 78 58 78
79 0079 V 59 79 59 79
7A 007A L 5A 7A 5A 7A
7B 007B - 7B 7B 7B 7B
7C 007C - 7C 7C 7C 7C
7D 007D - 7D 7D 7D 7D
7E 007E - 7E 7E 7E 7E
7F 007F - 7F 7F 7F 7F
80 0080 - 80 80 80 80
81 0081 - 81 81 81 81
82 0082 - 82 82 82 82
83 0083 - 83 83 83 83
84 0084 - 84 84 84 84
85 0085 W 85 85 85 85
86 0086 - 86 86 86 86
87 0087 - 87 87 87 87
88 0088 - 88 88 88 88
89 0089 - 89 89 89 89
8A 008A - 8A 8A 8A 8A
8B 008B - 8B 8B 8B 8B
8C 008C - 8C 8C 8C 8C
8D 008D - 8D 8D 8D 8D
8E 008E - 8E 8E 8E 8E
8F 008F - 8F 8F 8F 8F
90 0090 - 90 90 90 90
91 0091 - 91 91 91 91
92 0092 - 92 92 92 92
93 0093 - 93 93 93 93
94 0094 - 94 94 94 94
95 0095 - 95 95 95 95
96 0096 - 96 96 96 96
97 0097 - 97 97 97 97
98 0098 - 98 98 98 98
99 0099 - 99 99 99 99
9A 009A - 9A 9A 9A 9A
9B 009B - 9B 9B 9B 9B
9C 009C - 9C 9C 9C 9C
9D 009D - 9D 9D 9D 9D
9E 009E - 9E 9E 9E 9E
9F 009F - 9F 9F 9F 9F
A0 00A0 W A0 A0 A0 A0
A1 E0A1 - A1 A1 A1 A1
A2 E0A2 - A2 A2 A2 A2
A3 E0A3 - A3 A3 A3 A3
A4 00A4 - A4 A4 A4 A4
A5 E0A5 - A5 A5 A5 A5
A6 E0A6 - A6 A6 A6 A6
A7 E0A7 - A7 A7 A7 A7
A8 E0A8 - A8 A8 A8 A8
A9 E0A9 - A9 A9 A9 A9
AA E0AA - AA AA AA AA
AB E0AB - AB AB AB AB
AC 060C - AC AC AC AC
AD 00AD H AD AD AD AD
AE E0AE - AE AE AE AE
AF E0AF - AF AF AF AF
B0 E0B0 - B0 B0 B0 B0
B1 E0B1 - B1 B1 B1 B1
B2 E0B2 - B2 B2 B2 B2
B3 E0B3 - B3 B3 B3 B3
B4 E0B4 - B4 B4 B4 B4
B5 E0B5 - B5 B5 B5 B5
B6 E0B6 - B6 B6 B6 B6
B7 E0B7 - B7 B7 B7 B7
B8 E0B8 - B8 B8 B8 B8
B9 E0B9 - B9 B9 B9 B9
BA E0BA - BA BA BA BA
BB 061B - BB BB BB BB
BC E0BC - BC BC BC BC
BD E0BD - BD BD BD BD
BE E0BE - BE BE BE BE
BF 061F - BF BF BF BF
C0 E0C0 - C0 C0 C0 C0
C1 0621 L C1 C1 C1 C1
C2 0622 L C2 C2 C2 C7
C3 0623 L C3 C3 C3 C7
C4 0624 L C4 C4 C4 E8
C5 0625 L C5 C5 C5 C7
C6 0626 L C6 C6 C6 EA
C7 0627 L C7 C7 C7 C7
C8 0628 L C8 C8 C8 C8
C9 0629 L C9 C9 C9 C9
CA 062A L CA CA CA CA
CB 062B L CB CB CB CB
CC 062C L CC CC CC CC
CD 062D L CD CD CD CD
CE 062E L CE CE CE CE
CF 062F L CF CF CF CF
D0 0630 L D0 D0 D0 D0
D1 0631 L D1 D1 D1 D1
D2 0632 L D2 D2 D2 D2
D3 0633 L D3 D3 D3 D3
D4 0634 L D4 D4 D4 D4
D5 0635 L D5 D5 D5 D5
D6 0636 L D6 D6 D6 D6
D7 0637 L D7 D7 D7 D7
D8 0638 L D8 D8 D8 D8
D9 0639 L D9 D9 D9 D9
DA 063A L DA DA DA DA
DB E0DB - DB DB DB DB
DC E0DC - DC DC DC DC
DD E0DD - DD DD DD DD
DE E0DE - DE DE DE DE
DF E0DF - DF DF DF DF
E0 0640 L E0 E0 E0 E0
E1 0641 L E1 E1 E1 E1
E2 0642 L E2 E2 E2 E2
E3 0643 L E3 E3 E3 E3
E4 0644 L E4 E4 E4 E4
E5 0645 L E5 E5 E5 E5
E6 0646 L E6 E6 E6 E6
E7 0647 L E7 E7 E7 E7
E8 0648 L E8 E8 E8 E8
E9 0649 L E9 E9 E9 E9
EA 064A L EA EA EA EA
EB 064B M EB EB EB EB
EC 064C M EC EC EC EC
ED 064D M ED ED ED ED
EE 064E M EE EE EE EE
EF 064F M EF EF EF EF
F0 0650 M F0 F0 F0 F0
F1 0651 M F1 F1 F1 F1
F2 0652 M F2 F2 F2 F2
F3 E0F3 - F3 F3 F3 F3
F4 E0F4 - F4 F4 F4 F4
F5 E0F5 - F5 F5 F5 F5
F6 E0F6 - F6 F6 F6 F6
F7 E0F7 - F7 F7 F7 F7
F8 E0F8 - F8 F8 F8 F8
F9 E0F9 - F9 F9 F9 F9
FA E0FA - FA FA FA FA
FB E0FB - FB FB FB FB
FC E0FC - FC FC FC FC
FD E0FD - FD FD FD FD
FE E0FE - FE FE FE FE
FF E0FF - FF FF FF FF
