# Aspell Character Data File.  Do Not Edit!
# <char> <uni> <type> <upper> <lower> <title> <plain>
49 0049 V 49 69 49 49
4A 004A L 4A 6A 4A 4A
4B 004B L 4B 6B 4B 4B
4C 004C L 4C 6C 4C 4C
4D 004D L 4D 6D 4D 4D
4E 004E L 4E 6E 4E 4E
4F 004F V 4F 6F 4F 4F
50 0050 L 50 70 50 50
51 0051 L 51 71 51 51
52 0052 L 52 72 52 52
53 0053 L 53 73 53 53
54 0054 L 54 74 54 54
55 0055 V 55 75 55 55
56 0056 L 56 76 56 56
57 0057 L 57 77 57 57
58 0058 L 58 78 58 58
59 0059 V 59 79 59 59
5A 005A L 5A 7A 5A 5A
5B 005B - 5B 5B 5B 5B
5C 005C - 5C 5C 5C 5C
5D 005D - 5D 5D 5D 5D
5E 005E - 5E 5E 5E 5E
5F 005F - 5F 5F 5F 5F
60 0060 - 60 60 60 60
61 0061 V 41 61 41 61
62 0062 L 42 62 42 62
63 0063 L 43 63 43 63
64 0064 L 44 64 44 64
65 0065 V 45 65 45 65
66 0066 L 46 66 46 66
67 0067 L 47 67 47 67
68 0068 L 48 68 48 68
69 0069 V 49 69 49 69
6A 006A L 4A 6A 4A 6A
6B 006B L 4B 6B 4B 6B
6C 006C L 4C 6C 4C 6C
6D 006D L 4D 6D 4D 6D
6E 006E L 4E 6E 4E 6E
6F 006F V 4F 6F 4F 6F
70 0070 L 50 70 50 70
71 0071 L 51 71 51 71
72 0072 L 52 72 52 72
73 0073 L 53 73 53 73
74 0074 L 54 74 54 74
75 0075 V 55 75 55 75
76 0076 L 56 76 56 76
77 0077 L 57 77 57 77
78 0078 L 58 78 58 78
79 0079 V 59 79 59 79
7A 007A L 5A 7A 5A 7A
7B 007B - 7B 7B 7B 7B
7C 007C - 7C 7C 7C 7C
7D 007D - 7D 7D 7D 7D
7E 007E - 7E 7E 7E 7E
7F 007F - 7F 7F 7F 7F
80 0402 L 80 90 80 80
81 0403 L 81 83 81 C3
82 201A - 82 82 82 82
83 0453 L 81 83 81 E3
84 201E - 84 84 84 84
85 2026 - 85 85 85 85
86 2020 - 86 86 86 86
87 2021 - 87 87 87 87
88 20AC - 88 88 88 88
89 2030 - 89 89 89 89
8A 0409 L 8A 9A 8A 8A
8B 2039 - 8B 8B 8B 8B
8C 040A L 8C 9C 8C 8C
8D 040C L 8D 9D 8D CA
8E 040B L 8E 9E 8E 8E
8F 040F L 8F 9F 8F 8F
90 0452 L 80 90 80 90
91 2018 - 91 91 91 91
92 2019 - 92 92 92 92
93 201C - 93 93 93 93
94 201D - 94 94 94 94
95 2022 - 95 95 95 95
96 2013 - 96 96 96 96
97 2014 - 97 97 97 97
98 E098 - 98 98 98 98
99 2122 - 99 99 99 99
9A 0459 L 8A 9A 8A 9A
9B 203A - 9B 9B 9B 9B
9C 045A L 8C 9C 8C 9C
9D 045C L 8D 9D 8D EA
9E 045B L 8E 9E 8E 9E
9F 045F L 8F 9F 8F 9F
A0 00A0 W A0 A0 A0 A0
A1 040E V A1 A2 A1 D3
A2 045E V A1 A2 A1 F3
A3 0408 L A3 BC A3 A3
A4 00A4 - A4 A4 A4 A4
A5 0490 L A5 B4 A5 A5
A6 00A6 - A6 A6 A6 A6
A7 00A7 - A7 A7 A7 A7
A8 0401 V A8 B8 A8 C5
A9 00A9 - A9 A9 A9 A9
AA 0404 L AA BA AA AA
AB 00AB - AB AB AB AB
AC 00AC - AC AC AC AC
AD 00AD H AD AD AD AD
AE 00AE - AE AE AE AE
AF 0407 L AF BF AF B2
B0 00B0 - B0 B0 B0 B0
B1 00B1 - B1 B1 B1 B1
B2 0406 L B2 B3 B2 B2
B3 0456 L B2 B3 B2 B3
B4 0491 L A5 B4 A5 B4
B5 00B5 A B5 B5 B5 B5
B6 00B6 - B6 B6 B6 B6
B7 00B7 - B7 B7 B7 B7
B8 0451 V A8 B8 A8 E5
B9 2116 - B9 B9 B9 B9
BA 0454 L AA BA AA BA
BB 00BB - BB BB BB BB
BC 0458 L A3 BC A3 BC
BD 0405 L BD BE BD BD
BE 0455 L BD BE BD BE
BF 0457 L AF BF AF B3
C0 0410 V C0 E0 C0 C0
C1 0411 L C1 E1 C1 C1
C2 0412 L C2 E2 C2 C2
C3 0413 L C3 E3 C3 C3
C4 0414 L C4 E4 C4 C4
C5 0415 V C5 E5 C5 C5
C6 0416 L C6 E6 C6 C6
C7 0417 L C7 E7 C7 C7
C8 0418 V C8 E8 C8 C8
C9 0419 V C9 E9 C9 C8
CA 041A L CA EA CA CA
CB 041B L CB EB CB CB
CC 041C L CC EC CC CC
CD 041D L CD ED CD CD
CE 041E V CE EE CE CE
CF 041F L CF EF CF CF
D0 0420 L D0 F0 D0 D0
D1 0421 L D1 F1 D1 D1
D2 0422 L D2 F2 D2 D2
D3 0423 V D3 F3 D3 D3
D4 0424 L D4 F4 D4 D4
D5 0425 L D5 F5 D5 D5
D6 0426 L D6 F6 D6 D6
D7 0427 L D7 F7 D7 D7
D8 0428 L D8 F8 D8 D8
D9 0429 L D9 F9 D9 D9
DA 042A L DA FA DA DA
DB 042B L DB FB DB DB
DC 042C L DC FC DC DC
DD 042D L DD FD DD DD
DE 042E L DE FE DE DE
DF 042F L DF FF DF DF
E0 0430 V C0 E0 C0 E0
E1 0431 L C1 E1 C1 E1
E2 0432 L C2 E2 C2 E2
E3 0433 L C3 E3 C3 E3
E4 0434 L C4 E4 C4 E4
E5 0435 V C5 E5 C5 E5
E6 0436 L C6 E6 C6 E6
E7 0437 L C7 E7 C7 E7
E8 0438 V C8 E8 C8 E8
E9 0439 V C9 E9 C9 E8
EA 043A L CA EA CA EA
EB 043B L CB EB CB EB
EC 043C L CC EC CC EC
ED 043D L CD ED CD ED
EE 043E V CE EE CE EE
EF 043F L CF EF CF EF
F0 0440 L D0 F0 D0 F0
F1 0441 L D1 F1 D1 F1
F2 0442 L D2 F2 D2 F2
F3 0443 V D3 F3 D3 F3
F4 0444 L D4 F4 D4 F4
F5 0445 L D5 F5 D5 F5
F6 0446 L D6 F6 D6 F6
F7 0447 L D7 F7 D7 F7
F8 0448 L D8 F8 D8 F8
F9 0449 L D9 F9 D9 F9
FA 044A L DA FA DA FA
FB 044B L DB FB DB FB
FC 044C L DC FC DC FC
FD 044D L DD FD DD FD
FE 044E L DE FE DE FE
FF 044F L DF FF DF FF
